date,EPBR,EPRO,EPWHI,EPWHO,EBBR,EBRO,EBWHI,EBWHO,ET,PPBR,PPRO,PPWHI,PPWHO,PBBR,PBRO,PBWHI,PBWHO,PT
2013-01,307403.7,245198.2,4736250.5,740785.4,440971.3,2211705.0,9190327.0,1510037.0,580048024.5,193707.2,321432.8,5899704.3,717791.1,231311.8,5607573.2,6590435.2,953967.8,329762595.4
2013-02,314231.6,232303.8,4535219.6,564228.5,557813.5,2245554.2,9251223.6,1423558.3,590765589.0,218370.5,298988.3,5527436.7,536135.2,296173.8,5735893.1,6610826.9,873978.8,330827405.7
2013-03,353369.8,175634.7,4372379.5,562375.6,554724.2,2471923.9,8982243.7,1448097.4,604455168.5,214992.8,211698.6,5421527.9,557536.3,286007.3,5982113.2,6469719.9,874108.9,332956249.8
2013-04,372558.9,193022.1,4528507.8,538542.5,600308.7,2239898.8,8919783.1,1428531.0,576359731.5,252559.8,250227.7,5685652.3,491474.2,314542.6,5569268.9,6545716.4,883412.6,319449812.8
2013-05,330072.3,169010.2,4740710.6,510926.6,426677.1,2425046.1,8758501.1,1381884.0,593019768.4,227847.4,216294.1,5948672.3,468926.9,220250.8,5778818.1,6304174.4,853641.1,327861711.6
2013-06,346120.1,310169.3,4599707.3,509134.3,485930.0,2344127.1,8651065.5,1372807.6,590420835.5,229235.0,387729.8,5701910.2,503467.3,240762.0,5647434.4,6419411.5,886052.6,320595855.7
2013-07,323570.1,206719.5,4919273.3,559550.5,411641.0,2551834.3,8301403.7,1353837.3,585799777.7,193337.4,263150.0,6315180.1,519881.1,210813.8,5834051.7,6273799.3,889186.9,319084558.3
2013-08,396946.5,189243.9,4531253.0,495957.7,486351.1,2532819.8,8511469.9,1283892.4,584160999.2,230996.7,217062.2,5507252.9,486972.5,250353.1,5563182.3,6416381.4,822527.9,314392023.4
2013-09,324079.1,216262.3,4120553.8,556733.5,452232.0,2705714.6,8820007.7,1420189.6,579336802.0,173417.6,246695.5,5020850.5,547357.6,240849.7,6379078.8,6505712.0,925229.0,314637762.0
2013-10,303140.2,253492.5,4325335.4,518777.2,456421.9,2475284.3,8692427.7,1437082.9,577965485.6,172786.2,276297.5,5206833.4,494526.0,229985.8,5766523.1,6449366.7,931093.1,315825293.2
2013-11,331795.9,226287.0,4631099.3,547843.7,412100.6,2241231.1,8724722.1,1455368.5,622684654.3,196750.0,236299.5,5667390.6,538980.9,223187.2,5295330.0,6497618.6,927628.4,331186891.1
2013-12,391362.9,155037.6,4181698.7,523823.6,498843.0,2164807.5,8884311.1,1418385.3,653146299.4,224926.3,158375.3,5071556.7,497260.8,265753.2,5084300.7,6596826.2,917245.5,331950807.2
2013-13,350040.4,140005.6,4326010.8,514043.0,485520.1,1965533.6,9304315.5,1324071.6,715176564.2,208303.2,132136.1,5197501.1,501017.6,236216.0,4515035.0,6932406.8,865182.5,337349692.0
2014-01,370765.9,219195.3,4172759.9,483787.6,386679.0,2461368.7,9210208.2,1574193.7,592841452.0,192219.2,239957.6,5111906.9,481517.4,195783.3,5645309.3,6984091.7,1058280.7,325346802.2
2014-02,333941.6,242791.1,3981673.6,533005.4,407282.1,2399826.3,9498714.7,1643294.7,601927175.6,186235.6,267707.6,4847061.5,525543.6,204019.3,5597980.2,7195343.8,1088401.5,329071312.8
2014-03,335747.8,186406.7,3904435.6,556920.6,474745.1,2203705.0,8611963.3,1531643.8,598929132.8,190821.4,218704.9,4680796.1,523157.6,245875.4,5076165.2,6649304.2,1029463.5,329428416.5
2014-04,447552.8,103120.3,3935155.8,474528.8,406990.4,2386963.5,9143836.2,1459148.1,606880995.3,240953.0,111354.9,4869609.6,491256.4,202584.8,5518636.4,7004411.2,965013.8,331959125.9
2014-05,335634.5,176070.0,3847141.4,622720.4,364096.6,2626699.5,8849706.0,1285163.2,604115309.4,183706.6,180381.9,4802746.3,654831.6,185132.9,5553776.4,7017685.6,854180.2,327416343.8
2014-06,279646.7,193570.5,4298447.2,626498.7,386817.9,2547554.7,8534773.7,1336581.8,593400851.9,175025.9,206678.4,5418304.8,640428.8,202632.5,5630593.0,6735912.2,879404.0,322889747.7
2014-07,269312.9,242798.5,4087237.5,567202.5,581949.5,2529382.3,8217352.0,1188714.4,586897908.4,137502.4,243059.3,5126092.0,585048.9,281778.3,5501943.8,6397291.6,780022.1,316927685.5
